"Abstract","Abstract"
"Action","Action"
"Add Article","Add Article"
"An error occurred while updating the articles.","An error occurred while updating the articles."
"Are you sure?","Are you sure?"
"Article was saved","Article was saved"
"Article was successfully deleted.","Article was successfully deleted."
"Article was successfully saved","Article was successfully saved"
"Article","Article"
"Articles","Articles"
"Body","Body"
"CSV","CSV"
"Change status","Change status"
"Could not find article to delete.","Could not find article to delete."
"Created at","Created at"
"Delete Article","Delete Article"
"Delete","Delete"
"Disabled","Disabled"
"Edit Article '%s'","Edit Article '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving article","Error saving article"
"Excel","Excel"
"Full content of the article","Full content of the article"
"Home","Home"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for articles list page","Meta description for articles list page"
"Meta information","Meta information"
"Meta keywords for articles list page","Meta keywords for articles list page"
"Meta title for articles list page","Meta title for articles list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"No","No"
"None","None"
"Please select articles to delete.","Please select articles to delete."
"Please select articles.","Please select articles."
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Article","Save Article"
"Short description, abstract","Short description, abstract"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The articles has been deleted.","The articles has been deleted."
"There was a problem saving the article.","There was a problem saving the article."
"There was an error deleting article.","There was an error deleting article."
"There was an error deleting articles.","There was an error deleting articles."
"There was an error updating articles.","There was an error updating articles."
"This article no longer exists.","This article no longer exists."
"Title of the article","Title of the article"
"Title","Title"
"Total of %d articles were successfully deleted.","Total of %d articles were successfully deleted."
"Total of %d articles were successfully updated.","Total of %d articles were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find article to save.","Unable to find article to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"